GEOID,TRANSIT_INDEX
360594141005,100.0
360594112002,80.0
360593021023,80.0
360594100001,80.0
360594100002,80.0
360594076002,1.0
360594167022,1.0
360594162023,90.0
360593021022,80.0
360594046003,1.0
360594050004,100.0
360593028004,90.0
360595195004,1.0
360593035002,90.0
360593024002,80.0
360594063003,80.0
360593028001,90.0
360594160003,80.0
360593007002,90.0
360594131003,90.0
360595181003,1.0
360594108001,80.0
360593011011,80.0
360594139004,100.0
360594114003,80.0
360594145023,70.0
360594153003,80.0
360595215003,1.0
360594167014,1.0
360595210001,80.0
360594157002,80.0
360593032024,80.0
360594142013,100.0
360594168022,1.0
360595182041,1.0
360595202004,90.0
360599901000,-999.0
360599903020,-999.0
360594053024,100.0
360594118002,80.0
360595204011,70.0
360593011023,1.0
360594082006,90.0
360593003002,70.0
360593004002,80.0
360593004001,1.0
360594137001,80.0
360593042043,90.0
360594064006,1.0
360594068021,90.0
360594073023,100.0
360594087004,80.0
360594117005,90.0
360594071023,90.0
360594145012,70.0
360594165005,80.0
360594141001,80.0
360595210005,1.0
360594074021,80.0
360594063001,80.0
360593026002,80.0
360594053012,100.0
360594106006,80.0
360594047004,70.0
360594087001,80.0
360594072032,90.0
360594086002,80.0
360594131001,90.0
360594065012,90.0
360593014001,80.0
360594071013,90.0
360594084001,70.0
360594101004,80.0
360594058002,100.0
360594060013,1.0
360594119013,100.0
360599904000,
360593031024,1.0
360593042034,100.0
360594164011,80.0
360594168021,1.0
360595187005,1.0
360593010001,1.0
360595205012,1.0
360595202002,90.0
360594089002,90.0
360593040012,90.0
360594123021,70.0
360595216023,1.0
360594118006,90.0
360594138032,80.0
360594154014,80.0
360594051005,80.0
360593030001,80.0
360595185023,90.0
360595190003,80.0
360594084002,80.0
360593040022,90.0
360594140021,80.0
360594149006,80.0
360594122003,1.0
360593004003,80.0
360593012002,80.0
360595205021,80.0
360593036004,100.0
360594103003,90.0
360594109002,90.0
360594140014,80.0
360594131005,90.0
360594165003,80.0
360594165004,80.0
360595203003,80.0
